0.0,0,0,0.0,0.0, ,0.0,0,0,0.0,0.0, ,0.0,0,0,0.0,0.0, ,0.0,0,0,0.0,0.0, ,
0.56,0.57,0.75,0.28,0.54, ,0.39,0.56,0.25,0.29,0.37, ,0.32,0.68,0.75,0.25,0.5, ,1.0,0.68,1.0,0.36,0.76, ,
0.07,0.09,0.25,0.29,0.17, ,0.07,0.42,0.25,0.46,0.3, ,0.22,0.24,0.5,0.31,0.32, ,0.17,0.67,0.5,0.46,0.45, ,
0.29,0.63,0.75,0.29,0.49, ,0.18,0.82,0.5,0.3,0.45, ,0.44,0.44,0.75,0.37,0.5, ,0.39,0.88,0.5,0.29,0.52, ,
0.54,0.33,1.0,0.27,0.54, ,0.14,0.34,0.5,0.63,0.4, ,0.56,0.37,0.75,0.35,0.51, ,0.33,0.71,0.5,0.82,0.59, ,
0.22,0.65,0.75,0.35,0.49, ,0.28,0.74,0.75,0.15,0.48, ,0.11,0.69,0.25,0.15,0.3, ,0.07,1.0,0.5,0.11,0.42, ,
1.0,0.38,0.75,0.34,0.62, ,0.11,0.33,0.5,0.46,0.35, ,0.25,0.25,0.5,0.33,0.33, ,0.21,0.47,0.5,0.36,0.39, ,
0.18,0.41,0.5,0.32,0.35, ,0.18,0.44,0.5,0.3,0.36, ,0.33,0.49,0.5,0.31,0.41, ,0.28,0.37,0.75,0.4,0.45, ,
0.83,0.55,0.5,0.27,0.54, ,0.22,0.81,0.5,0.19,0.43, ,0.5,0.42,1.0,0.2,0.53, ,0.29,0.51,0.5,0.24,0.39, ,
0.33,0.5,0.25,0.31,0.35, ,0.11,0.24,0.5,0.38,0.31, ,0.18,0.4,0.5,0.53,0.4, ,0.07,0.54,0.25,0.63,0.37, ,
0.18,0.32,0.5,0.23,0.31, ,0.14,0.69,0.25,0.29,0.34, ,0.17,0.26,0.5,0.36,0.32, ,0.17,0.58,0.5,0.36,0.4, ,
0.5,0.48,0.75,0.27,0.5, ,0.22,0.68,0.5,0.19,0.4, ,0.54,0.52,0.5,0.24,0.45, ,0.21,0.64,0.5,0.25,0.4, ,
0.44,0.36,0.5,0.56,0.47, ,0.22,0.46,0.75,1.0,0.61, ,0.25,0.35,0.5,0.72,0.46, ,0.14,0.45,0.75,1.0,0.58, ,
0.29,0.64,1.0,0.41,0.58, ,0.14,0.58,0.75,0.37,0.46, ,0.61,0.58,1.0,0.32,0.63, ,0.39,0.68,0.5,0.4,0.49, ,
0.39,0.33,0.75,0.26,0.43, ,0.18,0.63,0.75,0.25,0.45, ,0.5,0.66,0.75,0.32,0.56, ,0.17,0.71,0.5,0.26,0.41, ,
0.36,0.45,0.75,0.21,0.44, ,0.36,0.53,0.5,0.19,0.4, ,0.33,0.22,0.75,0.23,0.38, ,0.11,0.17,0.5,0.23,0.25, ,
0.28,0.35,0.5,0.43,0.39, ,0.11,0.75,0.5,0.69,0.51, ,0.14,0.29,0.25,0.31,0.25, ,0.18,0.44,0.25,0.32,0.3, ,
